0	130043	51	8196	-358	-67	18	2	-332	-412	-134	101182.20	30.18	11.90	0.00	0.00	0	0	99	-1
1	130143	53	8201	-368	-66	19	2	-331	-405	-127	101183.20	30.18	11.81	0.00	0.00	0	0	99	-1
2	130203	47	8201	-369	-65	18	2	-329	-407	-131	101183.13	30.18	11.82	0.00	0.00	0	0	99	-1
3	130293	47	8201	-375	-66	17	2	-323	-411	-121	101183.13	30.18	11.82	0.00	0.00	0	0	99	-1
4	130303	47	8200	-373	-66	17	2	-326	-408	-128	101183.13	30.18	11.82	0.00	0.00	0	0	99	-1
5	130313	49	8197	-373	-66	16	2	-335	-411	-121	101183.13	30.18	11.87	0.00	0.00	0	0	99	-1
6	130323	49	8202	-369	-65	17	2	-329	-401	-127	101179.51	30.16	12.12	0.00	0.00	0	0	99	-1
7	130333	47	8200	-369	-65	17	2	-331	-413	-125	101179.51	30.16	12.12	0.00	0.00	0	0	99	-1
8	130343	42	8200	-369	-66	18	2	-330	-404	-120	101181.70	30.18	11.94	0.00	0.00	0	0	99	-1
9	130353	48	8207	-365	-66	18	2	-330	-406	-124	101181.70	30.18	11.94	0.00	0.00	0	0	99	-1
10	130373	51	8203	-363	-66	18	2	-334	-400	-122	101181.70	30.18	11.94	0.00	0.00	0	0	99	-1
11	130383	48	8203	-368	-66	18	2	-328	-410	-132	101181.70	30.18	11.94	0.00	0.00	0	0	99	-1
12	130393	39	8203	-369	-66	18	2	-331	-407	-129	101178.34	30.16	12.22	0.00	0.00	0	0	99	-1
13	130403	41	8204	-370	-66	18	2	-334	-412	-122	101178.34	30.16	12.22	0.00	0.00	0	0	99	-1
14	130413	46	8201	-371	-66	18	2	-324	-404	-128	101178.34	30.16	12.22	0.00	0.00	0	0	99	-1
15	130423	51	8203	-365	-66	17	2	-337	-407	-125	101182.30	30.18	11.89	0.00	0.00	0	0	99	-1
16	130433	53	8202	-366	-66	17	2	-333	-409	-121	101182.30	30.18	11.89	0.00	0.00	0	0	99	-1
17	130443	52	8204	-369	-66	17	2	-328	-414	-132	101182.30	30.18	11.89	0.00	0.00	0	0	99	-1
18	130453	48	8202	-366	-67	17	2	-333	-405	-121	101183.30	30.18	11.80	0.00	0.00	0	0	99	-1
19	130463	52	8202	-366	-66	18	2	-326	-400	-126	101183.30	30.18	11.80	0.00	0.00	0	0	99	-1
20	130473	54	8201	-365	-66	18	2	-329	-415	-131	101183.30	30.18	11.80	0.00	0.00	0	0	99	-1
